Date,Open,High,Low,Close,Adj Close,Volume
2017-11-06,178.559998,180.449997,178.309998,180.169998,180.169998,13312700
2017-11-07,180.500000,180.750000,178.960007,180.250000,180.250000,12928200
2017-11-08,179.789993,180.350006,179.110001,179.559998,179.559998,10494100
2017-11-09,178.309998,179.399994,177.089996,179.300003,179.300003,12610300
2017-11-10,178.350006,179.100006,177.960007,178.460007,178.460007,11070200
2017-11-13,177.500000,179.039993,177.300003,178.770004,178.770004,9523400
2017-11-14,178.130005,178.970001,177.179993,178.070007,178.070007,9585900
2017-11-15,176.660004,178.570007,176.399994,177.949997,177.949997,10253700
2017-11-16,178.759995,179.830002,178.500000,179.589996,179.589996,15607600
2017-11-17,179.300003,179.979996,178.899994,179.000000,179.000000,13018000
2017-11-20,178.869995,179.500000,178.100006,178.740005,178.740005,10052400
2017-11-21,179.149994,181.889999,178.990005,181.860001,181.860001,14504000
2017-11-22,181.300003,181.729996,180.440002,180.869995,180.869995,10376300
2017-11-24,180.399994,183.149994,180.289993,182.779999,182.779999,9426300
2017-11-27,182.559998,183.729996,181.990005,183.029999,183.029999,12344500
2017-11-28,183.509995,184.250000,182.089996,182.419998,182.419998,14379700
2017-11-29,181.889999,181.970001,174.000000,175.130005,175.130005,41933500
2017-11-30,176.850006,178.279999,175.199997,177.179993,177.179993,25307600
2017-12-01,176.029999,177.479996,172.339996,175.100006,175.100006,20182500
2017-12-04,176.289993,176.570007,170.789993,171.470001,171.470001,24459400
2017-12-05,170.449997,175.380005,169.009995,172.830002,172.830002,20184900
2017-12-06,172.500000,176.770004,171.899994,176.059998,176.059998,20255800
2017-12-07,175.800003,180.389999,175.800003,180.139999,180.139999,20404500
2017-12-08,181.529999,182.279999,178.740005,179.000000,179.000000,19883800
2017-12-11,179.300003,180.220001,178.800003,179.039993,179.039993,13168600
2017-12-12,178.600006,179.179993,176.600006,176.960007,176.960007,16854100
2017-12-13,177.300003,179.160004,177.250000,178.300003,178.300003,14615700
2017-12-14,178.289993,180.360001,177.679993,178.389999,178.389999,13591000
2017-12-15,179.020004,180.490005,178.360001,180.179993,180.179993,28463100
2017-12-18,181.009995,181.300003,179.750000,180.820007,180.820007,17265400
2017-12-19,179.949997,180.080002,178.220001,179.509995,179.509995,14920600
2017-12-20,179.809998,179.809998,177.360001,177.889999,177.889999,11860500
2017-12-21,177.940002,178.679993,177.050003,177.449997,177.449997,11600700
2017-12-22,177.139999,177.529999,176.229996,177.199997,177.199997,8509500
2017-12-26,176.630005,177.000000,174.669998,175.990005,175.990005,8897300
2017-12-27,176.550003,178.440002,176.259995,177.619995,177.619995,9496100
2017-12-28,177.949997,178.940002,177.679993,177.919998,177.919998,12220800
2017-12-29,178.000000,178.850006,176.460007,176.460007,176.460007,10261500
2018-01-02,177.679993,181.580002,177.550003,181.419998,181.419998,18151900
2018-01-03,181.880005,184.779999,181.330002,184.669998,184.669998,16886600
2018-01-04,184.899994,186.210007,184.100006,184.330002,184.330002,13880900
2018-01-05,185.589996,186.899994,184.929993,186.850006,186.850006,13574500
2018-01-08,187.199997,188.899994,186.330002,188.279999,188.279999,17994700
2018-01-09,188.699997,188.800003,187.100006,187.869995,187.869995,12393100
2018-01-10,186.940002,187.889999,185.630005,187.839996,187.839996,10529900
2018-01-11,188.399994,188.399994,187.380005,187.770004,187.770004,9588600
2018-01-12,178.059998,181.479996,177.399994,179.369995,179.369995,77551300
2018-01-16,181.500000,181.750000,178.039993,178.389999,178.389999,36183800
2018-01-17,179.259995,179.320007,175.800003,177.600006,177.600006,27992400
2018-01-18,178.130005,180.979996,177.080002,179.800003,179.800003,23304900
2018-01-19,180.850006,182.369995,180.169998,181.289993,181.289993,26826500
2018-01-22,180.800003,185.389999,180.410004,185.369995,185.369995,21059500
2018-01-23,186.050003,189.550003,185.550003,189.350006,189.350006,25678800
2018-01-24,189.889999,190.660004,186.520004,186.550003,186.550003,24334500
2018-01-25,187.949997,188.619995,186.600006,187.479996,187.479996,17377700
2018-01-26,187.750000,190.000000,186.809998,190.000000,190.000000,17759200
2018-01-29,188.750000,188.839996,185.630005,185.979996,185.979996,20453200
2018-01-30,187.619995,188.179993,181.839996,187.119995,187.119995,20858600
2018-01-31,188.369995,189.830002,185.220001,186.889999,186.889999,43275100
2018-02-01,188.220001,195.320007,187.889999,193.089996,193.089996,54211300
2018-02-02,192.039993,194.210007,189.979996,190.279999,190.279999,25730200
