Type of Behavior ,Sample Size ,Stage of Change
Smoking cessation ,108,Precontemplation
Smoking cessation ,187,Contemplation
Smoking cessation ,0,Preparation
Smoking cessation ,134,Action
Smoking cessation ,247,Maintenance
Quitting cocaine ,8,Precontemplation
Quitting cocaine ,15,Contemplation
Quitting cocaine ,0,Preparation
Quitting cocaine ,71,Action
Quitting cocaine ,62,Maintenance
Weight control,18,Precontemplation
Weight control,65,Contemplation
Weight control,0,Preparation
Weight control,22,Action
Weight control,18,Maintenance
High fat diet ,41,Precontemplation
High fat diet ,32,Contemplation
High fat diet ,0,Preparation
High fat diet ,5,Action
High fat diet ,102,Maintenance
Adolescent delinquency ,29,Precontemplation
Adolescent delinquency ,46,Contemplation
Adolescent delinquency ,0,Preparation
Adolescent delinquency ,43,Action
Adolescent delinquency ,41,Maintenance
Safer sex,94,Precontemplation
Safer sex,17,Contemplation
Safer sex,0,Preparation
Safer sex,102,Action
Safer sex,0,Maintenance
Condom use ,131,Precontemplation
Condom use ,58,Contemplation
Condom use ,0,Preparation
Condom use ,20,Action
Condom use ,114,Maintenance
Sunscreen use ,119,Precontemplation
Sunscreen use ,18,Contemplation
Sunscreen use ,0,Preparation
Sunscreen use ,10,Action
Sunscreen use ,80,Maintenance
Radon gas exposure ,520,Precontemplation
Radon gas exposure ,121,Contemplation
Radon gas exposure ,0,Preparation
Radon gas exposure ,57,Action
Radon gas exposure ,0,Maintenance
Exercise acquisition ,53,Precontemplation
Exercise acquisition ,242,Contemplation
Exercise acquisition ,182,Preparation
Exercise acquisition ,101,Action
Exercise acquisition ,139,Maintenance
Mammography screening,31,Precontemplation
Mammography screening,24,Contemplation
Mammography screening,0,Preparation
Mammography screening,26,Action
Mammography screening,60,Maintenance
Physicians' practices,43,Precontemplation
Physicians' practices,20,Contemplation
Physicians' practices,3,Preparation
Physicians' practices,2,Action
Physicians' practices,67,Maintenance
