Week,A(H3N2v),A (H1N1)pdm09,A(H3),A(unable to sub-type),A(Subtyping not performed),B,BVIC,BYAM,Total # Tested
201740,1,13,121,0,3,5,0,16,990
201741,0,14,142,0,1,6,4,11,988
201742,0,14,173,0,0,2,1,11,1179
201743,0,26,173,0,4,8,1,20,1334
201744,0,23,240,0,2,17,3,32,1474
201745,0,28,314,0,1,12,4,30,1503
201746,0,56,398,0,2,34,4,59,1808
201747,0,41,482,0,0,12,5,58,1556
201748,1,61,752,0,10,27,8,95,2248
201749,0,68,960,0,7,38,14,86,2516
201750,0,127,1343,0,14,42,30,157,3174
201751,0,209,2197,0,39,96,35,203,4296
201752,0,245,2530,0,23,104,28,302,4734
201801,0,254,2761,0,32,168,32,369,5261
201802,0,273,2681,0,74,128,27,348,5200
201803,0,255,1784,0,62,119,19,294,3931
201804,0,189,1017,0,74,103,13,201,2660
