"","Var1","Freq"
"1","arizona",4
"2","arkansas",4
"3","california",24
"4","colorado",2
"5","connecticut",2
"6","delaware",1
"7","florida",7
"8","georgia",8
"9","illinois",4
"10","indiana",4
"11","iowa",1
"12","kansas",18
"13","kentucky",1
"14","louisiana",2
"15","maine",1
"16","maryland",6
"17","massachusetts",12
"18","michigan",4
"19","minnesota",6
"20","missouri",5
"21","montana",1
"22","nevada",1
"23","new hampshire",2
"24","new jersey",5
"25","new mexico",1
"26","new york",10
"27","north carolina",9
"28","ohio",8
"29","oklahoma",2
"30","oregon",4
"31","pennsylvania",4
"32","rhode island",4
"33","south carolina",3
"34","south dakota",1
"35","tennessee",2
"36","texas",18
"37","utah",2
"38","virginia",6
"39","washington",4
"40","wisconsin",7
