"","x"
"1",NA
"2",NA
"3","illinois"
"4","minnesota"
"5","ohio"
"6",NA
"7","pennsylvania"
"8","new york"
"9","maryland"
"10","wisconsin"
"11",NA
"12","kansas"
"13","texas"
"14","maryland"
"15","california"
"16","washington"
"17","massachusetts"
"18",NA
"19","rhode island"
"20","florida"
"21","montana"
"22",NA
"23","arizona"
"24","louisiana"
"25",NA
"26","missouri"
"27","new york"
"28","texas"
"29","new jersey"
"30","florida"
"31","california"
"32","illinois"
"33","georgia"
"34","rhode island"
"35","indiana"
"36","new york"
"37","utah"
"38","massachusetts"
"39","kansas"
"40","texas"
"41","texas"
"42",NA
"43",NA
"44",NA
"45","virginia"
"46","massachusetts"
"47",NA
"48","colorado"
"49",NA
"50","minnesota"
"51","massachusetts"
"52","indiana"
"53",NA
"54",NA
"55","louisiana"
"56",NA
"57",NA
"58","kansas"
"59","california"
"60","illinois"
"61","massachusetts"
"62","south carolina"
"63","kansas"
"64","ohio"
"65",NA
"66",NA
"67",NA
"68",NA
"69","south dakota"
"70","maryland"
"71","georgia"
"72","arizona"
"73",NA
"74","california"
"75","washington"
"76","california"
"77",NA
"78",NA
"79",NA
"80","texas"
"81","texas"
"82",NA
"83","tennessee"
"84","indiana"
"85","georgia"
"86","colorado"
"87","arkansas"
"88","arkansas"
"89","ohio"
"90",NA
"91","georgia"
"92","michigan"
"93","washington"
"94",NA
"95","missouri"
"96",NA
"97","texas"
"98","south carolina"
"99","iowa"
"100","new york"
"101","massachusetts"
"102","maryland"
"103",NA
"104","california"
"105","california"
"106","kansas"
"107",NA
"108","california"
"109",NA
"110","kansas"
"111","california"
"112",NA
"113",NA
"114","oklahoma"
"115","massachusetts"
"116","massachusetts"
"117",NA
"118",NA
"119",NA
"120",NA
"121","virginia"
"122",NA
"123",NA
"124",NA
"125","texas"
"126",NA
"127","texas"
"128","florida"
"129","california"
"130",NA
"131",NA
"132",NA
"133",NA
"134",NA
"135","california"
"136",NA
"137",NA
"138","connecticut"
"139",NA
"140","texas"
"141","california"
"142",NA
"143","new york"
"144","kansas"
"145","kansas"
"146","georgia"
"147","minnesota"
"148",NA
"149","arkansas"
"150","oregon"
"151","kansas"
"152","maine"
"153",NA
"154",NA
"155","maryland"
"156","california"
"157","arizona"
"158",NA
"159","florida"
"160","kansas"
"161","new york"
"162",NA
"163","florida"
"164",NA
"165","arizona"
"166",NA
"167","ohio"
"168","maryland"
"169",NA
"170","california"
"171","california"
"172",NA
"173","california"
"174",NA
"175",NA
"176","california"
"177","illinois"
"178","delaware"
"179","ohio"
"180",NA
"181","michigan"
"182",NA
"183","wisconsin"
"184","georgia"
"185","north carolina"
"186",NA
"187","north carolina"
"188","pennsylvania"
"189","north carolina"
"190","north carolina"
"191","pennsylvania"
"192","virginia"
"193",NA
"194","wisconsin"
"195","texas"
"196","california"
"197",NA
"198",NA
"199","utah"
"200",NA
"201",NA
"202","new york"
"203","texas"
"204","south carolina"
"205","virginia"
"206","minnesota"
"207",NA
"208","oregon"
"209",NA
"210","kansas"
"211",NA
"212","texas"
"213",NA
"214","massachusetts"
"215","new jersey"
"216","new hampshire"
"217",NA
"218",NA
"219","california"
"220",NA
"221","new york"
"222","florida"
"223","minnesota"
"224","virginia"
"225","california"
"226","ohio"
"227","north carolina"
"228","north carolina"
"229",NA
"230","minnesota"
"231","texas"
"232","kentucky"
"233","nevada"
"234","north carolina"
"235","kansas"
"236",NA
"237",NA
"238",NA
"239","wisconsin"
"240",NA
"241","kansas"
"242","georgia"
"243","texas"
"244","rhode island"
"245",NA
"246","new jersey"
"247",NA
"248","california"
"249",NA
"250","new mexico"
"251","new hampshire"
"252",NA
"253","california"
"254","connecticut"
"255","oklahoma"
"256","kansas"
"257",NA
"258","tennessee"
"259","ohio"
"260","texas"
"261","michigan"
"262","california"
"263","washington"
"264",NA
"265","kansas"
"266",NA
"267",NA
"268","wisconsin"
"269","kansas"
"270","new jersey"
"271","florida"
"272","pennsylvania"
"273",NA
"274",NA
"275","rhode island"
"276","new york"
"277","missouri"
"278",NA
"279","massachusetts"
"280","wisconsin"
"281","missouri"
"282",NA
"283","michigan"
"284","california"
"285",NA
"286","north carolina"
"287","wisconsin"
"288","kansas"
"289",NA
"290",NA
"291",NA
"292","arkansas"
"293","kansas"
"294","ohio"
"295",NA
"296","massachusetts"
"297","oregon"
"298","oregon"
"299","texas"
"300",NA
"301","massachusetts"
"302",NA
"303",NA
"304","north carolina"
"305","new york"
"306",NA
"307",NA
"308","missouri"
"309","virginia"
"310",NA
"311",NA
"312","indiana"
"313",NA
"314",NA
"315",NA
"316",NA
"317",NA
"318",NA
"319",NA
"320","texas"
"321","new jersey"
"322","georgia"
"323",NA
