"","lon","lat"
"1",114.109497,22.396428
"2",-106.346771,56.130366
"3",-87.6297982,41.8781136
"4",-94.1657949,43.767733
"5",-82.907123,40.4172871
"6",-155.5827818,19.8967662
"7",-75.3878525,39.907793
"8",-77.6109219,43.16103
"9",-77.732213,39.620377
"10",-88.7878678,43.7844397
"11",-82.4571776,27.950575
"12",-95.712891,37.09024
"13",-97.7430608,30.267153
"14",-76.6412712,39.0457549
"15",-122.4194155,37.7749295
"17",-122.2609558,47.4739884
"18",-71.0588801,42.3600825
"19",15.0543387,50.76628
"20",-71.4128343,41.8239891
"22",-81.3792365,28.5383355
"23",-112.8080169,48.2471194
"25",-122.3320708,47.6062095
"26",-111.4500302,33.3593407
"27",-91.9623327,30.9842977
"28",-0.1277583,51.5073509
"29",-92.1735164,38.5767017
"30",-76.2177046,43.106456
"31",-99.9018131,31.9685988
"32",-74.4056612,40.0583238
"33",-81.5157535,27.6648274
"35",-118.2548493,34.0483215
"36",-89.3985283,40.6331249
"38",-83.9811014,34.1140497
"39",-71.3128285,41.4901024
"40",-86.1349019,40.2671941
"41",-75.2915564,43.1706253
"44",-111.8910474,40.7607793
"45",-70.932122,42.5750009
"46",-95.712891,37.09024
"48",-96.9262805,33.0274105
"49",-96.0617155,33.0929274
"50",-79.7990319,43.3255196
"51",-0.1277583,51.5073509
"52",-106.346771,56.130366
"53",-77.4360481,37.5407246
"54",-71.0588801,42.3600825
"55",-80.1917902,25.7616798
"56",-105.7820674,39.5500507
"57",-79.3831843,43.653226
"58",-92.905484,44.5069113
"59",-71.0588801,42.3600825
"60",-86.158068,39.768403
"61",19.145136,51.919438
"62",-7.6920536,53.1423672
"63",-90.0715323,29.9510658
"65",-3.435973,55.378051
"69",0.077487,51.412626
"70",-95.712891,37.09024
"71",-119.4179324,36.778261
"72",-87.9156192,41.5083164
"73",-71.0588801,42.3600825
"74",-81.0348144,34.0007104
"75",-95.712891,37.09024
"77",-81.699154,41.506431
"78",12.087845,55.64191
"79",3.4219444,6.4280556
"80",-0.175281,51.3573721
"81",35.2034184,31.9037641
"82",-99.9018131,43.9695148
"83",-76.6121893,39.2903848
"84",-84.3879824,33.7489954
"85",-111.9260519,33.4941704
"86",1.923048,41.4795041
"87",-119.4179324,36.778261
"89",-118.3430208,46.0645809
"90",-116.419389,34.9592083
"91",2.9777268,42.2618274
"94",-79.3831843,43.653226
"95",2.8214264,41.9794005
"96",-97.7277959,31.1171194
"97",-97.678896,30.5082551
"99",-74.0059728,40.7127753
"101",-90.038134,35.145116
"102",-86.158068,39.768403
"103",-84.3879824,33.7489954
"104",-104.990251,39.7392358
"105",-92.2895948,34.7464809
"106",-91.8318334,35.20105
"108",-82.907123,40.4172871
"109",78.96288,20.593684
"110",-83.357567,33.9519347
"111",-85.6023643,44.3148443
"112",-122.6432244,48.2931559
"113",-60.0217314,-3.1190275
"114",-94.5785667,39.0997265
"116",-79.3831843,43.653226
"118",-97.7430608,30.267153
"119",-81.4198227,34.2684778
"122",-92.3425775,42.492786
"124",-73.9441579,40.6781784
"125",-71.0588801,42.3600825
"126",-77.0469214,38.8048355
"127",-74.0059728,40.7127753
"128",-118.781482,34.2694474
"129",-122.4194155,37.7749295
"130",-95.712891,37.09024
"131",-74.0059728,40.7127753
"132",-119.574224,38.2692123
"133",-74.0059728,40.7127753
"134",-95.712891,37.09024
"135",-120.9577098,37.5949316
"136",-3.17909,51.481581
"137",-106.346771,56.130366
"138",-95.971261,36.153315
"139",-71.0994968,42.3875968
"141",-71.8634062,42.3517585
"142",-1.1743197,52.3555177
"143",-0.1277583,51.5073509
"144",-7.6920536,53.1423672
"145",-1.234956,54.574227
"146",-78.458708,38.253749
"148",-149.9002778,61.2180556
"150",69.345116,30.375321
"151",-120.3635924,50.7081841
"152",-96.7969879,32.7766642
"153",-1.1743197,52.3555177
"155",-99.9018131,31.9685988
"157",-81.5157535,27.6648274
"158",-118.3964665,34.0211224
"162",-79.8711024,43.2557206
"163",149.1300092,-35.2809368
"164",133.775136,-25.274398
"165",-122.3320708,47.6062095
"166",-1.5490774,53.8007554
"167",-121.4943996,38.5815719
"168",15.472962,49.817492
"169",-74.0059728,40.7127753
"170",-72.6532373,41.5528943
"171",-3.0213193,53.756629
"172",-96.8236116,33.1506744
"173",-116.419389,34.9592083
"175",-0.1277583,51.5073509
"176",-73.9992966,40.7453369
"177",-95.712891,37.09024
"178",-95.712891,37.09024
"179",-82.9000751,32.1656221
"180",-93.2471276,45.0138279
"181",73.0478848,33.6844202
"182",-94.3985475,35.3859242
"183",-122.6764815,45.5230622
"184",-95.2352501,38.9716689
"185",-70.8226541,43.9653889
"186",7.9036831,49.34645
"187",8.2722569,50.4859255
"188",-77.0260856,38.9910958
"190",-118.2436849,34.0522342
"191",-111.9260519,33.4941704
"192",-157.7973653,21.3996475
"193",-80.1386547,26.8233946
"195",-95.712891,37.09024
"197",-73.8490111,43.0009086
"198",-0.1277583,51.5073509
"199",-82.7192671,28.2441768
"200",13.404954,52.5200066
"201",-112.4685025,34.5400242
"203",-80.2160459,43.3341657
"204",-82.907123,40.4172871
"205",-76.805345,39.132015
"206",-76.4921829,38.9784453
"207",-122.0307963,36.9741171
"208",-121.8863286,37.3382082
"209",-74.0059728,40.7127753
"210",-117.2393073,33.0755566
"211",-74.0059728,40.7127753
"212",-2.7417849,52.7063657
"213",-116.419389,34.9592083
"214",-87.6297982,41.8781136
"215",-75.5397878,39.7390721
"216",-82.9824019,39.3331197
"217",-74.0059728,40.7127753
"218",-83.1499322,42.6583661
"219",-74.0059728,40.7127753
"220",-88.017771,44.519456
"221",-83.6324022,32.8406946
"224",-79.0192997,35.7595731
"225",11.5819805,48.1351253
"226",-79.0192997,35.7595731
"227",-77.189373,40.203446
"228",-78.6381787,35.7795897
"229",-79.0192997,35.7595731
"231",-80.2213477,40.5169767
"232",-75.977985,36.8529263
"233",80.0949883,13.2222011
"234",-88.837329,43.4577692
"236",-97.3307658,32.7554883
"237",-117.760817,33.6995444
"239",-104.6188943,50.4452112
"241",-117.9298493,33.6188829
"242",-111.0937311,39.3209801
"243",-0.2710568,51.5672808
"244",116.171,-31.897
"245",-73.9712488,40.7830603
"246",-97.0403352,32.8998091
"247",-79.9748103,32.8546197
"249",-78.6568942,37.4315734
"250",-93.2650108,44.977753
"253",-74.0059728,40.7127753
"254",-120.5542012,43.8041334
"255",-117.1610838,32.715738
"256",-95.712891,37.09024
"257",-1.4043509,50.9097004
"258",-95.4612625,30.1658207
"259",-0.8094705,51.8137073
"261",-71.3161718,42.6334247
"263",-74.0754189,40.9445428
"264",-70.8635506,43.2683199
"265",-2.2426305,53.4807593
"266",-0.1277583,51.5073509
"267",-122.4194155,37.7749295
"268",0.52213,51.380952
"269",-73.4529124,44.6994873
"270",-81.3392352,28.5999998
"273",-93.3499489,44.8896866
"274",-77.7952712,38.7134516
"275",-118.2436849,34.0522342
"276",-81.6943605,41.49932
"277",-77.9447102,34.2257255
"278",-78.548621,35.3821067
"279",-1.7850351,53.645792
"280",-93.2650108,44.977753
"282",-96.7969879,32.7766642
"283",-84.5037164,38.0405837
"284",-115.2398603,36.0989986
"285",-78.6381787,35.7795897
"287",-98.4842465,39.011902
"288",-66.590149,18.220833
"290",16.3738189,48.2081743
"291",1.502642,52.343264
"292",-88.7878678,43.7844397
"293",-0.1277583,51.5073509
"294",-95.712891,37.09024
"297",-84.3879824,33.7489954
"298",-97.1416768,32.5631924
"299",-71.5642076,41.6885978
"300",-2.2426305,53.4807593
"301",-74.2445902,40.6220478
"302",-0.1277583,51.5073509
"304",-119.4179324,36.778261
"306",-66.58973,6.42375
"308",-105.8700901,34.5199402
