"","Var1","Freq"
"1","alabama",4
"2","arizona",14
"3","arkansas",5
"4","california",64
"5","colorado",9
"6","connecticut",2
"7","delaware",2
"8","district of columbia",17
"9","florida",33
"10","georgia",20
"11","idaho",5
"12","illinois",16
"13","indiana",7
"14","iowa",2
"15","kansas",28
"16","kentucky",7
"17","louisiana",2
"18","maryland",12
"19","massachusetts",6
"20","michigan",14
"21","minnesota",4
"22","mississippi",2
"23","missouri",12
"24","montana",4
"25","nebraska",5
"26","nevada",13
"27","new hampshire",2
"28","new jersey",12
"29","new mexico",5
"30","new york",39
"31","north carolina",20
"32","ohio",22
"33","oklahoma",14
"34","oregon",15
"35","pennsylvania",17
"36","south carolina",12
"37","south dakota",4
"38","tennessee",10
"39","texas",47
"40","utah",8
"41","virginia",12
"42","washington",11
"43","west virginia",7
"44","wisconsin",10
"45","wyoming",1
