"","x"
"1",NA
"2","district of columbia"
"3",NA
"4",NA
"5",NA
"6","missouri"
"7","california"
"8",NA
"9","new jersey"
"10",NA
"11","michigan"
"12","nebraska"
"13","georgia"
"14","wisconsin"
"15","california"
"16",NA
"17",NA
"18",NA
"19",NA
"20",NA
"21","minnesota"
"22","district of columbia"
"23","texas"
"24",NA
"25",NA
"26","texas"
"27","pennsylvania"
"28","texas"
"29",NA
"30",NA
"31",NA
"32","west virginia"
"33","michigan"
"34","south carolina"
"35",NA
"36","maryland"
"37","kansas"
"38",NA
"39","kansas"
"40","california"
"41","new york"
"42","south dakota"
"43",NA
"44","michigan"
"45","oklahoma"
"46","california"
"47","south carolina"
"48",NA
"49",NA
"50","florida"
"51","colorado"
"52",NA
"53","arizona"
"54","new york"
"55",NA
"56","kansas"
"57",NA
"58",NA
"59","kansas"
"60",NA
"61","north carolina"
"62",NA
"63",NA
"64",NA
"65","tennessee"
"66","wisconsin"
"67","oregon"
"68","virginia"
"69","indiana"
"70",NA
"71",NA
"72",NA
"73","district of columbia"
"74","utah"
"75","illinois"
"76","pennsylvania"
"77","texas"
"78",NA
"79",NA
"80","tennessee"
"81",NA
"82",NA
"83","pennsylvania"
"84",NA
"85","pennsylvania"
"86","florida"
"87",NA
"88",NA
"89",NA
"90","florida"
"91",NA
"92",NA
"93",NA
"94",NA
"95",NA
"96",NA
"97","ohio"
"98","florida"
"99","arizona"
"100",NA
"101","pennsylvania"
"102","massachusetts"
"103","north carolina"
"104","texas"
"105","new york"
"106","california"
"107",NA
"108","florida"
"109",NA
"110","new hampshire"
"111",NA
"112",NA
"113",NA
"114","kansas"
"115",NA
"116",NA
"117","georgia"
"118","california"
"119",NA
"120",NA
"121",NA
"122","california"
"123","washington"
"124","pennsylvania"
"125",NA
"126","pennsylvania"
"127",NA
"128","arizona"
"129","new jersey"
"130",NA
"131",NA
"132",NA
"133","new york"
"134","utah"
"135",NA
"136",NA
"137","tennessee"
"138",NA
"139",NA
"140",NA
"141",NA
"142","georgia"
"143",NA
"144",NA
"145","district of columbia"
"146","california"
"147","california"
"148","west virginia"
"149",NA
"150","oregon"
"151",NA
"152","kansas"
"153","ohio"
"154","iowa"
"155",NA
"156","minnesota"
"157",NA
"158","maryland"
"159",NA
"160","colorado"
"161","missouri"
"162",NA
"163",NA
"164","california"
"165",NA
"166",NA
"167",NA
"168",NA
"169",NA
"170",NA
"171",NA
"172","missouri"
"173","texas"
"174",NA
"175","texas"
"176",NA
"177",NA
"178",NA
"179",NA
"180",NA
"181",NA
"182","florida"
"183",NA
"184","north carolina"
"185","california"
"186","maryland"
"187","virginia"
"188","florida"
"189",NA
"190","florida"
"191","new york"
"192","oklahoma"
"193",NA
"194","colorado"
"195",NA
"196","wisconsin"
"197",NA
"198","new york"
"199","district of columbia"
"200","california"
"201",NA
"202",NA
"203","arizona"
"204","arizona"
"205","california"
"206","georgia"
"207",NA
"208","california"
"209","florida"
"210",NA
"211","texas"
"212",NA
"213","washington"
"214","california"
"215","california"
"216",NA
"217",NA
"218",NA
"219","georgia"
"220","california"
"221","minnesota"
"222","ohio"
"223","ohio"
"224",NA
"225","ohio"
"226","kansas"
"227","texas"
"228","illinois"
"229","colorado"
"230","washington"
"231","utah"
"232","florida"
"233","california"
"234","california"
"235","mississippi"
"236","wisconsin"
"237",NA
