"","lon","lat"
"2",-43.1728965,-22.9068467
"3",-77.0368707,38.9071923
"4",144.9630576,-37.8136276
"5",-74.0059728,40.7127753
"8",-1.829833,52.4750743
"9",-90.1994042,38.6270025
"11",-118.0353449,34.1397292
"12",-52.3491221,-24.0011864
"15",-74.1432133,40.116312
"18",144.9630576,-37.8136276
"19",-83.1497751,42.6064095
"20",-95.9979883,41.2523634
"21",-84.3879824,33.7489954
"23",-90.5963117,44.5537607
"24",-119.4179324,36.778261
"25",4.3517103,50.8503396
"26",-35.5677787,-8.2116007
"27",-122.3320708,47.6062095
"31",69.345116,30.375321
"32",-43.1728965,-22.9068467
"34",-94.6858998,46.729553
"35",-77.0368707,38.9071923
"36",-99.9018131,31.9685988
"37",-0.8094705,51.8137073
"38",-6.4633381,52.336916
"40",-97.7430608,30.267153
"41",-79.9958864,40.4406248
"43",-99.9018131,31.9685988
"44",-40.3088626,-19.1834229
"45",-3.7037902,40.4167754
"46",-43.1728965,-22.9068467
"48",-79.9558968,39.629526
"51",-85.9540407,42.9721934
"53",-81.0348144,34.0007104
"54",-74.0059728,40.7127753
"55",-77.026088,38.9906657
"56",-95.712891,37.09024
"57",-0.1277583,51.5073509
"58",-95.712891,37.09024
"59",-118.1170117,33.8816818
"60",-73.9441579,40.6781784
"61",-96.778728,43.50832
"62",22.937506,-30.559482
"64",-83.985,42.43472
"65",-97.5164276,35.4675602
"66",-119.4179324,36.778261
"67",-80.3414693,33.9204354
"68",-43.1728965,-22.9068467
"70",-74.0059728,40.7127753
"71",-81.5157535,27.6648274
"72",-105.7820674,39.5500507
"73",-157.7394444,21.4022222
"74",-111.9280527,33.4242399
"76",-74.35682,41.3317606
"77",5.6037465,6.334986
"80",-98.4842465,39.011902
"86",-75.6971931,45.4215296
"87",-83.0457538,42.331427
"88",-95.712891,37.09024
"91",-1.1581086,52.9547832
"92",-82.5514869,35.5950581
"93",39.2375507,21.2854067
"94",-4.7277528,37.5442706
"95",-1.1743197,52.3555177
"97",-86.7816016,36.1626638
"98",-87.8211854,42.5847425
"99",-122.8755949,42.3265152
"100",-77.2000225,38.7604532
"102",-86.158068,39.768403
"103",105.8021808,15.1219947
"104",-3.435973,55.378051
"105",-122.3320708,47.6062095
"106",-77.0368707,38.9071923
"108",-111.8638226,40.5246711
"110",-87.6297982,41.8781136
"111",-75.1652215,39.9525839
"114",-102.4107493,34.2331373
"115",-43.1728965,-22.9068467
"116",-14.452362,14.497401
"117",-86.5804473,35.5174913
"118",-9.0567905,53.270668
"120",-43.1152211,-22.8858975
"121",-78.2421772,40.9211173
"122",172.6742273,-43.5324277
"123",-76.6502468,40.2859239
"124",-81.7328567,28.0222435
"125",-79.3831843,43.653226
"127",78.486671,17.385044
"128",-73.567256,45.5016889
"131",-82.5306527,27.3364347
"132",-51.126047,-29.9950203
"133",17.6389267,59.8585638
"134",-1.1743197,52.3555177
"136",-40.420365,-20.2642764
"137",-79.7990319,43.3255196
"138",-43.6843877,-22.9196515
"140",-81.6943605,41.49932
"141",-81.5157535,27.6648274
"142",-111.6547075,35.1851895
"146",-49.3273595,-16.777259
"147",-75.2023233,39.9562296
"150",-71.0588801,42.3600825
"151",-78.6141709,35.7112642
"152",-97.7430608,30.267153
"154",-73.9441579,40.6781784
"156",-118.2436849,34.0522342
"157",28.2292712,-25.7478676
"158",-81.5157535,27.6648274
"161",-2.2426305,53.4807593
"162",-71.6886296,42.8801702
"163",-51.92528,-14.235004
"164",-117.9195882,33.6387916
"165",8.541694,47.3768866
"166",-95.712891,37.09024
"167",-16.9240554,32.6669328
"169",-97.4974838,25.9017472
"172",-84.3879824,33.7489954
"174",-117.1817561,32.9031177
"175",-43.1728965,-22.9068467
"180",-118.493477,34.009827
"181",0.174675,51.480818
"182",-122.7140548,38.440429
"183",-122.6716063,45.6318397
"191",-79.9958864,40.4406248
"192",0.573453,50.854259
"193",-80.0494982,40.3553473
"195",-117.1610838,32.715738
"196",-110.926479,32.2217429
"198",-74.4056612,40.0583238
"199",-43.18473,-22.9332067
"201",-122.3320708,47.6062095
"203",-43.1728965,-22.9068467
"204",-73.2453946,40.7250986
"206",-111.8338359,41.7369803
"207",-0.1277583,51.5073509
"209",-43.1728965,-22.9068467
"210",-86.74807,36.204848
"211",-0.1277583,51.5073509
"212",-106.346771,56.130366
"213",-0.75398,51.41604
"214",-108.2974556,52.7764752
"220",-84.3822488,33.9201692
"223",77.0949329,28.6188234
"224",-113.5975533,53.5700247
"225",-77.0368707,38.9071923
"226",-122.4194155,37.7749295
"227",-118.2436849,34.0522342
"228",-81.1881557,37.7781702
"229",-79.3831843,43.653226
"230",-122.6764815,45.5230622
"231",-43.2803832,-22.9021344
"232",-95.712891,37.09024
"233",-82.907123,40.4172871
"234",-93.6091064,41.6005448
"235",-57.6604364,53.1355091
"236",-94.3694444,45.9805556
"237",37.4355074,55.8873844
"238",-77.017983,38.9812717
"239",-2.9915726,53.4083714
"240",-105.7820674,39.5500507
"241",-89.5625848,37.0978279
"242",-43.3996264,-22.7645391
"244",-78.60736,43.993623
"246",-119.5559652,36.708006
"247",-1.1397592,52.6368778
"249",-36.7604027,-8.4880247
"250",-83.0457538,42.331427
"251",-1.1743197,52.3555177
"252",-47.8821658,-15.7942287
"253",75.2941329,12.0755237
"255",-0.1277583,51.5073509
"257",-94.44355,36.650627
"260",-99.9018131,31.9685988
"261",-35.200916,-5.7792569
"262",-99.9018131,31.9685988
"263",144.9630576,-37.8136276
"266",-43.5662438,-22.9035842
"267",-1.890401,52.486243
"268",144.9630576,-37.8136276
"269",-42.4680046,-21.5293862
"270",-43.9352376,-19.9245018
"271",-81.2811801,28.2489016
"275",35.243322,38.963745
"276",-79.0558445,35.9131996
"278",-118.2436849,34.0522342
"280",-76.608407,39.290973
"281",-78.4766781,38.0293059
"282",-80.6675577,26.6845104
"283",-51.92528,-14.235004
"284",-82.05077,29.063309
"285",-73.6981858,40.8256561
"287",-96.6786131,34.2362054
"288",-51.92528,-14.235004
"289",-105.2705456,40.0149856
"290",170.5027976,-45.8787605
"291",-91.9206505,44.9028713
"292",153.0251235,-27.4697707
"293",-73.980337,40.7423608
"294",-77.0368707,38.9071923
"295",-118.2436849,34.0522342
"298",-43.1728965,-22.9068467
"299",-41.8802333,-21.2000807
"304",-112.1743026,33.3781458
"307",-111.8314724,33.4151843
"312",-118.2436849,34.0522342
"314",-84.3879824,33.7489954
"316",-1.1743197,52.3555177
"318",-117.6508876,34.0633443
"319",-80.0533746,26.7153424
"320",-5.353585,36.140751
"321",-97.5247243,26.1284971
"323",-43.1728965,-22.9068467
"327",-122.1634581,47.7542651
"328",-119.4179324,36.778261
"330",-116.419389,34.9592083
"331",-51.1389736,-29.1762286
"332",-43.1728965,-22.9068467
"333",-127.6476205,53.7266683
"334",-82.9000751,32.1656221
"335",-120.0607176,36.9613356
"336",-93.2982799,44.840798
"337",-82.907123,40.4172871
"338",-82.907123,40.4172871
"339",-38.5014136,-12.9722184
"340",-80.7645239,41.1017247
"341",-95.712891,37.09024
"344",-99.9018131,31.9685988
"345",-87.7761717,41.9613788
"346",-104.990251,39.7392358
"347",-122.4857321,47.1342432
"348",-111.8910474,40.7607793
"353",-81.5072314,30.2661204
"355",-118.0075383,34.1065965
"356",-118.2436849,34.0522342
"358",-90.3094933,34.2640168
"362",-89.8052163,46.1008606
"363",16.3738189,48.2081743
"366",-123.3656444,48.4284207
"370",-70.6692655,-33.4488897
"373",-51.92528,-14.235004
"375",-96.7469365,32.9316194
"379",-74.0059728,40.7127753
"380",-111.0937311,39.3209801
"382",-82.6402915,27.7676008
"383",-2.013021,53.743304
"385",-43.1728965,-22.9068467
"386",-111.8910474,40.7607793
"388",-74.0059728,40.7127753
"389",-122.6764815,45.5230622
"390",-95.712891,37.09024
"391",-87.6527566,41.8738377
"392",-47.8821658,-15.7942287
"393",-43.3698377,-22.8599462
"394",-77.1945247,41.2033216
"395",-71.467566,42.7653662
"396",-73.9712488,40.7830603
"398",6.0608726,51.4427238
"400",-81.5157535,27.6648274
"401",-87.6297982,41.8781136
"402",-51.92528,-14.235004
"403",-80.2644254,43.1393867
"405",-86.1349019,40.2671941
"406",-116.9718759,33.7449902
"410",-119.2945199,34.2804923
"411",-43.1728965,-22.9068467
"412",-97.1383744,49.895136
"413",-90.1994042,38.6270025
"414",-87.6483041,41.8688449
"415",-88.276067,40.146401
"416",-46.6333094,-23.5505199
"418",-7.79143,54.333094
"421",-79.3831843,43.653226
"423",2.9114104,42.2938816
"425",-81.2852366,28.2496546
"426",-46.6333094,-23.5505199
"427",-75.5951156,45.2730254
"428",53.688046,32.427908
"430",-79.3502693,42.088936
"432",-84.5037164,38.0405837
"435",-102.4107493,34.2331373
"437",-121.8995741,37.4323341
"439",-79.3831843,43.653226
"440",-122.7140548,38.440429
"441",22.937506,-30.559482
"445",-80.8431267,35.2270869
"446",-74.0059728,40.7127753
"447",-77.0368707,38.9071923
"449",-80.2460819,36.1004536
"450",-74.282332,40.64848
"451",-113.81064,52.2693195
"452",-77.0368707,38.9071923
"453",-112.4455344,42.8713032
"454",-90.0489801,35.1495343
"456",-82.05077,29.063309
"457",-84.3879824,33.7489954
"461",-73.7751326,41.0748188
