"","x"
"1","oklahoma"
"2",NA
"3",NA
"4","ohio"
"5","florida"
"6","virginia"
"7","north carolina"
"8","colorado"
"9","north carolina"
"10",NA
"11","maryland"
"12",NA
"13","arizona"
"14","massachusetts"
"15","virginia"
"16",NA
"17","new mexico"
"18","michigan"
"19",NA
"20","michigan"
"21","georgia"
"22",NA
"23","michigan"
"24","kansas"
"25","ohio"
"26","connecticut"
"27","minnesota"
"28","nevada"
"29","california"
"30",NA
"31","washington"
"32","florida"
"33",NA
"34",NA
"35","ohio"
"36","texas"
"37",NA
"38","utah"
"39",NA
"40",NA
"41",NA
"42","north carolina"
"43",NA
"44",NA
"45","pennsylvania"
"46","kansas"
"47",NA
"48","georgia"
"49",NA
"50","texas"
"51",NA
"52","alabama"
"53","illinois"
"54","north carolina"
"55","california"
"56",NA
"57","iowa"
"58",NA
"59","pennsylvania"
"60",NA
"61",NA
"62",NA
"63",NA
"64",NA
"65","illinois"
"66","arizona"
"67","georgia"
"68","ohio"
"69","colorado"
"70",NA
"71","pennsylvania"
"72","new york"
"73","maryland"
"74","wisconsin"
"75",NA
"76","kansas"
"77","texas"
"78","maryland"
"79","utah"
"80","kansas"
"81","kansas"
"82","oklahoma"
"83","minnesota"
"84","minnesota"
"85","minnesota"
"86","california"
"87","tennessee"
"88",NA
"89","georgia"
"90","texas"
"91",NA
"92","kansas"
"93","nebraska"
"94","virginia"
"95","kansas"
"96","michigan"
"97",NA
"98","california"
"99","california"
"100","california"
"101","massachusetts"
"102","new jersey"
"103","florida"
"104","north carolina"
"105",NA
"106",NA
"107","california"
"108","texas"
"109","pennsylvania"
"110","maryland"
"111","ohio"
"112","nevada"
"113","illinois"
"114","north carolina"
"115",NA
"116",NA
"117","ohio"
"118",NA
"119","california"
"120","kansas"
"121","illinois"
"122","kansas"
"123",NA
"124",NA
"125","california"
"126",NA
"127",NA
"128",NA
"129","florida"
"130",NA
"131",NA
"132",NA
"133","alabama"
"134","arizona"
"135","west virginia"
"136","arkansas"
"137","indiana"
"138","kentucky"
"139","ohio"
"140",NA
"141","virginia"
"142","california"
"143","new york"
"144","colorado"
"145",NA
"146",NA
"147",NA
"148","texas"
"149","wisconsin"
"150","missouri"
"151","tennessee"
"152","new york"
"153","california"
"154",NA
"155","texas"
"156","texas"
"157",NA
"158","texas"
"159",NA
"160",NA
"161","kansas"
"162","kansas"
"163","georgia"
"164","texas"
"165",NA
"166",NA
"167","indiana"
"168","oklahoma"
"169","florida"
"170",NA
