"","lon","lat"
"1",-97.092877,35.0077519
"2",-63.4168136,46.510712
"3",-0.1277583,51.5073509
"4",-81.5190053,41.0814447
"5",-80.1373174,26.1224386
"7",-81.5148368,36.8348383
"8",-78.6381787,35.7795897
"10",-105.7820674,39.5500507
"11",-79.0192997,35.7595731
"12",-50.1644281,-30.076706
"15",-77.1527578,39.0839973
"17",2.147119,41.4034119
"19",-111.0937311,34.0489281
"20",-71.0588801,42.3600825
"21",-77.0909809,38.8816208
"22",-118.3870448,33.8188978
"23",-106.6055534,35.0853336
"24",-83.9737086,42.0694101
"25",-79.9310512,32.7764749
"27",-83.7430378,42.2808256
"31",-84.3879824,33.7489954
"35",-117.3505939,33.1580933
"38",-85.6023643,44.3148443
"39",-95.712891,37.09024
"41",-83.040888,39.9917495
"42",-72.9223431,41.3163244
"44",-93.2009998,44.9374831
"46",-115.1398296,36.1699412
"47",-122.2605222,37.5071591
"48",12.3401709,62.2786475
"49",-123.8264512,46.5180824
"50",-81.3792365,28.5383355
"53",-3.9273778,38.9848295
"54",8.6821267,50.1109221
"56",-83.040888,39.9917495
"58",-96.7969879,32.7766642
"59",73.22068,3.202778
"61",-111.7957645,40.3768954
"62",12.566608,55.695981
"63",18.0685808,59.3293235
"64",78.96288,20.593684
"65",-77.3663538,35.612661
"66",-117.1610838,32.715738
"67",-78.4678382,-0.1806532
"68",-77.1945247,41.2033216
"69",-95.712891,37.09024
"70",-79.3831843,43.653226
"72",-82.9000751,32.1656221
"73",-3.435973,55.378051
"74",-99.9018131,31.9685988
"75",-80.1300455,25.790654
"77",-86.8163773,33.2442813
"78",-88.9918979,42.2175324
"79",-80.8431267,35.2270869
"80",-118.29149,34.2510369
"81",-1.519693,52.406822
"82",-93.6319131,42.0307812
"84",-0.3982145,53.0452281
"86",-77.8600012,40.7933949
"87",-117.1610838,32.715738
"88",153.0251235,-27.4697707
"89",114.109497,22.396428
"90",-117.1610838,32.715738
"91",-106.346771,56.130366
"92",-87.6297982,41.8781136
"94",-111.0937311,34.0489281
"95",-84.3346473,33.9462125
"96",-82.907123,40.4172871
"97",-104.8213634,38.8338816
"98",-155.5827818,19.8967662
"99",-75.3878525,39.907793
"100",-77.6109219,43.16103
"101",-77.732213,39.620377
"102",-88.7878678,43.7844397
"103",-82.4571776,27.950575
"104",-95.712891,37.09024
"105",-97.7430608,30.267153
"106",-77.026088,38.9906657
"107",-111.8338359,41.7369803
"109",-95.2352501,38.9716689
"110",-95.712891,37.09024
"113",-97.092877,35.0077519
"114",-93.0899578,44.9537029
"117",-93.2650108,44.977753
"119",-93.2650108,44.977753
"120",-119.4179324,36.778261
"121",-86.7816016,36.1626638
"123",-62.2518341,46.3549799
"124",-84.3879824,33.7489954
"125",-95.3698028,29.7604267
"126",-74.0059728,40.7127753
"127",-95.712891,37.09024
"128",-95.9979883,41.2523634
"129",-77.4360481,37.5407246
"132",-95.2352501,38.9716689
"134",-85.6023643,44.3148443
"135",-122.3320708,47.6062095
"136",-121.4943996,38.5815719
"137",-120.8958242,38.8375215
"139",-121.4943996,38.5815719
"141",-71.2092214,42.3370413
"143",-75.1969346,39.8422093
"146",-81.6943881,30.2354031
"147",-78.898619,35.9940329
"149",4.4970097,52.1601144
"150",-0.1277583,51.5073509
"151",-118.2436849,34.0522342
"152",-95.299857,29.764707
"153",-75.3698895,40.0415996
"154",-76.6412712,39.0457549
"155",-82.0131924,39.9403453
"158",-115.1398296,36.1699412
"159",-87.6297982,41.8781136
"160",-78.6127766,34.6308865
"161",24.7535747,59.4369608
"162",-1.9823238,51.7933526
"163",-82.9987942,39.9611755
"164",-0.0117006,51.4414579
"165",-118.2436849,34.0522342
"166",-95.712891,37.09024
"167",-89.3985283,40.6331249
"168",-95.712891,37.09024
"170",-74.0059728,40.7127753
"171",144.9630576,-37.8136276
"172",-119.4179324,36.778261
"173",-82.735658,27.525957
"174",-106.346771,56.130366
"175",-79.3831843,43.653226
"176",-81.5157535,27.6648274
"177",-74.0059728,40.7127753
"178",4.8951679,52.3702157
"179",8.6724335,49.3987524
"180",-86.80249,33.5206608
"182",-112.0740373,33.4483771
"183",-81.625654,38.350784
"186",-94.3985475,35.3859242
"187",-86.158068,39.768403
"188",-82.3246094,37.6061055
"189",-83.040888,39.9917495
"190",-80.1917902,25.7616798
"191",-78.6568942,37.4315734
"192",-118.2436849,34.0522342
"193",-73.969262,40.7506057
"194",-105.0749801,40.3977612
"195",-1.128462,53.52282
"196",0.1447592,52.6401813
"197",-3.435973,55.378051
"198",-96.7298519,32.9483335
"199",-89.4012302,43.0730517
"200",-90.4643906,38.6887567
"201",-83.9207392,35.9606384
"202",-73.8648268,40.8447819
"205",-122.4194155,37.7749295
"207",-114.0708459,51.0486151
