"","x"
"1","california"
"2",NA
"3","kansas"
"4",NA
"5","kansas"
"6","wisconsin"
"7","pennsylvania"
"8","kansas"
"9","ohio"
"10","kentucky"
"11","idaho"
"12","california"
"13","california"
"14","texas"
"15","district of columbia"
"16","texas"
"17","kentucky"
"18","missouri"
"19","missouri"
"20","texas"
"21","florida"
"22","vermont"
"23","maryland"
"24","missouri"
"25","new jersey"
"26","illinois"
"27","texas"
"28","ohio"
"29",NA
"30","nevada"
"31","maryland"
"32","texas"
"33","michigan"
"34",NA
"35","texas"
"36","maryland"
"37",NA
"38",NA
"39","missouri"
"40","missouri"
"41",NA
"42","new hampshire"
"43","arkansas"
"44","california"
"45","new york"
"46","texas"
"47","kansas"
"48","oklahoma"
"49",NA
"50",NA
"51","colorado"
"52","nevada"
