"","lon","lat"
"1",-101.0020119,47.5514926
"2",174.7691073,-36.8523378
"4",-70.1356692,-20.2307033
"5",-69.2877535,-20.2028799
"6",-69.7863,-20.2595
"8",8.6821267,50.1109221
"9",10.451526,51.165691
"12",-102.4107493,34.2331373
"13",-117.1610838,32.715738
"14",-71.5186065,-32.9299468
"15",-73.1169808,-36.7247834
"16",-102.4107493,34.2331373
"17",-73.1169808,-36.7247834
"18",-73.0443904,-36.8201352
"19",-70.6692655,-33.4488897
"20",-70.6692655,-33.4488897
"22",-74.961517,39.8519447
"23",-118.3255563,34.085748
"26",-70.6692655,-33.4488897
"27",-71.542969,-35.675147
"29",-71.542969,-35.675147
"30",-70.4933447,-30.1220406
"31",-72.5903739,-38.7359018
"32",-70.6692655,-33.4488897
"33",10.451526,51.165691
"35",-70.6093325,-33.4314474
"36",-70.9170683,-53.1638329
"37",-70.7631335,-33.5209155
"38",-71.5500276,-33.0153481
"39",-70.9199669,-34.2477006
"40",-71.542969,-35.675147
"44",-71.542969,-35.675147
"45",-117.0372025,32.5309718
"46",-70.6692655,-33.4488897
"47",-73.2452103,-39.8195857
"48",-72.068265,-45.5712254
"49",-71.542969,-35.675147
"50",-72.5903739,-38.7359018
"51",-70.6692655,-33.4488897
"52",-70.1356692,-20.2307033
"53",-70.5972179,-32.8337995
"54",-70.6692655,-33.4488897
"55",-71.6484804,-35.4232444
"59",-71.542969,-35.675147
"60",-71.542969,-35.675147
"61",-72.3612251,-37.4629159
"62",-70.6692655,-33.4488897
"63",-70.6692655,-33.4488897
"66",-97.130299,32.659894
"67",-72.0167,-37.6667
"68",-71.542969,-35.675147
"69",-149.9002778,61.2180556
"70",-104.8157798,38.8339711
"71",-71.542969,-35.675147
"72",-71.3389183,-29.9590009
"75",-71.542969,-35.675147
"76",-90.5068824,14.6349149
"77",-71.542969,-35.675147
"78",-71.5500276,-33.0153481
"79",-71.542969,-35.675147
"82",-70.7406259,-34.1701324
"84",-69.2972139,-53.8671117
"87",-71.542969,-35.675147
"88",-72.331113,-38.948921
"89",-70.6453887,-33.4456835
"92",-71.542969,-35.675147
"93",-70.6592183,-33.4378711
"94",-71.2519374,-29.9026691
"95",-71.5500276,-33.0153481
"96",-70.6692655,-33.4488897
"97",-71.542969,-35.675147
"99",-70.6692655,-33.4488897
"100",-73.7624137,-42.4801402
"101",-71.542969,-35.675147
"102",-70.7421787,-34.1690147
"103",-71.542969,-35.675147
"104",16.3738189,48.2081743
"105",-71.6055123,-33.5922807
"107",-70.9170683,-53.1638329
"108",-71.542969,-35.675147
"110",-81.3392352,28.5999998
"111",-75.2240718,39.7392804
"112",-122.4014193,37.4337342
