"","Var1","Freq"
"1","alabama",1
"2","arizona",5
"3","arkansas",1
"4","california",21
"5","colorado",5
"6","district of columbia",14
"7","florida",9
"8","georgia",5
"9","idaho",1
"10","illinois",7
"11","indiana",2
"12","iowa",1
"13","kansas",14
"14","kentucky",1
"15","maryland",11
"16","massachusetts",8
"17","michigan",2
"18","minnesota",5
"19","missouri",1
"20","nebraska",2
"21","new jersey",9
"22","new york",8
"23","north carolina",2
"24","ohio",4
"25","oklahoma",5
"26","pennsylvania",10
"27","south carolina",2
"28","south dakota",1
"29","tennessee",3
"30","texas",10
"31","utah",2
"32","vermont",1
"33","virginia",2
"34","washington",2
"35","wisconsin",2
