"","x"
"1",NA
"2",NA
"3","pennsylvania"
"4","minnesota"
"5",NA
"6",NA
"7",NA
"8","south carolina"
"9",NA
"10",NA
"11","illinois"
"12",NA
"13",NA
"14",NA
"15","district of columbia"
"16","kansas"
"17",NA
"18","georgia"
"19",NA
"20",NA
"21","texas"
"22","maryland"
"23","tennessee"
"24",NA
"25","utah"
"26","south dakota"
"27","california"
"28",NA
"29",NA
"30",NA
"31",NA
"32","kansas"
"33",NA
"34",NA
"35",NA
"36",NA
"37",NA
"38",NA
"39","alabama"
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48","maryland"
"49",NA
"50",NA
"51","minnesota"
"52",NA
"53","wisconsin"
"54",NA
"55","new york"
"56","kansas"
"57",NA
"58",NA
"59","arizona"
"60","pennsylvania"
"61",NA
"62",NA
"63",NA
"64",NA
"65",NA
"66",NA
"67",NA
"68",NA
"69",NA
"70",NA
"71","arizona"
"72",NA
"73","texas"
"74","california"
"75",NA
"76","district of columbia"
"77",NA
"78",NA
"79",NA
"80",NA
"81",NA
"82",NA
"83",NA
"84",NA
"85","california"
"86","texas"
"87","new jersey"
"88",NA
"89","district of columbia"
"90",NA
"91",NA
"92","ohio"
"93",NA
"94","tennessee"
"95",NA
"96",NA
"97",NA
"98","district of columbia"
"99",NA
"100",NA
"101",NA
"102","arizona"
"103",NA
"104",NA
"105","kansas"
"106","arizona"
"107",NA
"108",NA
"109",NA
"110",NA
"111",NA
"112",NA
"113","kansas"
"114","iowa"
"115",NA
"116",NA
"117",NA
"118",NA
"119",NA
"120",NA
"121",NA
"122","ohio"
"123",NA
"124","new jersey"
"125",NA
"126",NA
"127",NA
"128",NA
"129",NA
"130",NA
"131",NA
"132","ohio"
"133",NA
"134",NA
"135","new jersey"
"136",NA
"137",NA
"138",NA
"139",NA
"140",NA
"141","massachusetts"
"142",NA
"143",NA
"144","district of columbia"
"145","district of columbia"
"146",NA
"147",NA
"148",NA
"149",NA
"150",NA
"151","georgia"
"152",NA
"153",NA
"154","virginia"
"155",NA
"156",NA
"157",NA
"158",NA
"159",NA
"160",NA
"161",NA
"162",NA
"163",NA
"164",NA
"165",NA
"166",NA
"167",NA
"168",NA
"169",NA
"170",NA
"171",NA
"172",NA
"173",NA
"174",NA
"175",NA
"176",NA
"177",NA
"178",NA
"179",NA
"180","massachusetts"
"181","new jersey"
"182","massachusetts"
"183",NA
"184",NA
"185",NA
"186",NA
"187",NA
"188",NA
"189",NA
"190","new york"
"191",NA
"192",NA
"193",NA
"194","texas"
"195",NA
"196","massachusetts"
"197",NA
"198",NA
"199",NA
"200",NA
"201",NA
"202",NA
"203","california"
"204",NA
"205","arkansas"
"206","california"
"207",NA
"208","north carolina"
"209",NA
"210",NA
"211","california"
"212","texas"
"213",NA
"214",NA
"215",NA
"216",NA
"217","colorado"
"218",NA
"219",NA
"220",NA
"221","new york"
"222",NA
"223","california"
"224","california"
"225","maryland"
"226","california"
"227",NA
"228",NA
"229",NA
"230",NA
"231",NA
"232",NA
"233",NA
"234",NA
"235",NA
"236","kansas"
"237",NA
"238",NA
"239",NA
"240",NA
"241",NA
"242",NA
"243",NA
"244",NA
"245",NA
"246","new jersey"
"247",NA
"248","georgia"
"249","florida"
"250",NA
"251",NA
"252",NA
"253",NA
"254",NA
"255","maryland"
"256","maryland"
"257",NA
"258",NA
"259",NA
"260",NA
"261",NA
"262",NA
"263","arizona"
"264",NA
"265",NA
"266",NA
"267",NA
"268","new york"
"269",NA
"270","new jersey"
"271",NA
"272",NA
"273","new york"
"274",NA
"275","kansas"
"276",NA
"277",NA
"278",NA
"279",NA
"280",NA
"281",NA
"282",NA
"283","florida"
"284",NA
"285",NA
"286",NA
"287",NA
"288",NA
"289",NA
"290",NA
"291",NA
"292",NA
"293",NA
"294",NA
"295",NA
"296","ohio"
"297",NA
"298",NA
"299","oklahoma"
"300","pennsylvania"
"301",NA
"302","district of columbia"
"303",NA
"304",NA
"305",NA
"306",NA
"307",NA
"308",NA
"309",NA
"310",NA
"311",NA
"312",NA
"313",NA
"314",NA
"315",NA
"316",NA
"317",NA
"318",NA
"319",NA
"320",NA
"321","minnesota"
"322",NA
"323",NA
"324",NA
"325",NA
"326",NA
"327",NA
"328",NA
"329",NA
"330",NA
"331",NA
"332",NA
"333",NA
"334",NA
"335",NA
"336",NA
"337","washington"
"338",NA
"339",NA
"340",NA
"341",NA
"342",NA
"343","colorado"
"344",NA
"345","massachusetts"
"346","kansas"
"347",NA
"348","california"
"349",NA
"350",NA
"351",NA
"352",NA
"353",NA
"354",NA
"355",NA
"356",NA
"357",NA
"358",NA
"359","district of columbia"
"360","texas"
"361","maryland"
"362",NA
"363","nebraska"
"364",NA
"365",NA
"366",NA
"367",NA
"368","california"
"369",NA
"370",NA
"371",NA
"372",NA
"373",NA
"374",NA
"375","texas"
"376","utah"
"377",NA
"378",NA
"379","pennsylvania"
"380","district of columbia"
"381",NA
"382",NA
"383",NA
"384",NA
"385",NA
"386",NA
"387",NA
"388",NA
"389",NA
"390",NA
"391",NA
"392",NA
"393","florida"
"394","new jersey"
"395",NA
"396",NA
"397",NA
"398",NA
"399",NA
"400",NA
"401",NA
"402",NA
"403",NA
"404",NA
"405",NA
"406",NA
"407","tennessee"
"408","new jersey"
"409",NA
"410","illinois"
"411",NA
"412",NA
"413",NA
"414",NA
"415",NA
"416",NA
"417",NA
"418",NA
"419",NA
"420","wisconsin"
"421",NA
"422","new jersey"
"423",NA
"424",NA
"425",NA
"426",NA
"427",NA
"428",NA
"429",NA
"430",NA
"431",NA
"432","maryland"
"433",NA
"434",NA
"435",NA
"436",NA
"437",NA
"438",NA
"439",NA
"440","massachusetts"
"441","washington"
"442",NA
"443","maryland"
"444",NA
"445",NA
"446",NA
"447",NA
"448",NA
"449",NA
"450",NA
"451",NA
"452",NA
"453",NA
"454","georgia"
"455",NA
"456",NA
"457",NA
"458",NA
"459",NA
"460",NA
"461",NA
"462",NA
"463",NA
"464","maryland"
"465",NA
"466",NA
"467",NA
"468",NA
"469",NA
"470",NA
"471",NA
"472",NA
"473",NA
"474",NA
"475","illinois"
"476","colorado"
"477",NA
"478",NA
"479",NA
"480",NA
"481","new york"
"482",NA
"483",NA
"484",NA
"485",NA
"486",NA
"487",NA
"488",NA
"489",NA
"490","missouri"
"491",NA
"492",NA
"493",NA
"494",NA
"495",NA
"496",NA
"497",NA
"498",NA
"499",NA
"500",NA
"501",NA
"502",NA
"503",NA
"504",NA
"505",NA
"506",NA
"507","kansas"
"508",NA
"509",NA
"510",NA
"511",NA
"512",NA
"513",NA
"514","pennsylvania"
"515",NA
"516",NA
"517",NA
"518",NA
"519",NA
"520","virginia"
"521",NA
"522",NA
"523","south carolina"
"524","kentucky"
"525",NA
"526","kansas"
"527",NA
"528",NA
"529",NA
"530",NA
"531",NA
"532",NA
"533",NA
"534",NA
"535",NA
"536",NA
"537",NA
"538",NA
"539","minnesota"
"540",NA
"541",NA
"542",NA
"543",NA
"544",NA
"545",NA
"546",NA
"547",NA
"548",NA
"549","pennsylvania"
"550",NA
"551",NA
"552","massachusetts"
"553",NA
"554","kansas"
"555","massachusetts"
"556",NA
"557","oklahoma"
"558",NA
"559",NA
"560","minnesota"
"561",NA
"562",NA
"563",NA
"564",NA
"565",NA
"566","california"
"567",NA
"568",NA
"569",NA
"570",NA
"571",NA
"572",NA
"573",NA
"574",NA
"575",NA
"576","california"
"577",NA
"578","district of columbia"
"579","indiana"
"580",NA
"581","california"
"582","california"
"583",NA
"584",NA
"585",NA
"586",NA
"587",NA
"588",NA
"589","california"
"590","district of columbia"
"591",NA
"592",NA
"593",NA
"594",NA
"595",NA
"596",NA
"597",NA
"598",NA
"599",NA
"600",NA
"601",NA
"602",NA
"603",NA
"604","texas"
"605",NA
"606",NA
"607",NA
"608","florida"
"609",NA
"610",NA
"611",NA
"612",NA
"613",NA
"614",NA
"615",NA
"616",NA
"617","maryland"
"618","pennsylvania"
"619","north carolina"
"620",NA
"621","kansas"
"622",NA
"623",NA
"624",NA
"625",NA
"626",NA
"627",NA
"628",NA
"629","illinois"
"630",NA
"631",NA
"632",NA
"633",NA
"634",NA
"635",NA
"636",NA
"637",NA
"638",NA
"639","pennsylvania"
"640",NA
"641",NA
"642",NA
"643",NA
"644",NA
"645","florida"
"646",NA
"647",NA
"648",NA
"649",NA
"650",NA
"651","oklahoma"
"652","kansas"
"653",NA
"654",NA
"655",NA
"656",NA
"657",NA
"658","florida"
"659","california"
"660","michigan"
"661",NA
"662",NA
"663",NA
"664",NA
"665","florida"
"666",NA
"667",NA
"668","california"
"669",NA
"670",NA
"671",NA
"672",NA
"673",NA
"674","district of columbia"
"675","oklahoma"
"676",NA
"677","california"
"678",NA
"679",NA
"680",NA
"681",NA
"682",NA
"683",NA
"684",NA
"685","illinois"
"686",NA
"687","illinois"
"688","pennsylvania"
"689","colorado"
"690","district of columbia"
"691",NA
"692","florida"
"693",NA
"694","california"
"695",NA
"696","oklahoma"
"697",NA
"698",NA
"699",NA
"700",NA
"701",NA
"702","indiana"
"703",NA
"704",NA
"705",NA
"706",NA
"707","new york"
"708",NA
"709","california"
"710",NA
"711",NA
"712",NA
"713",NA
"714",NA
"715",NA
"716",NA
"717","florida"
"718",NA
"719","kansas"
"720",NA
"721",NA
"722","illinois"
"723",NA
"724",NA
"725","maryland"
"726","new york"
"727","colorado"
"728",NA
"729",NA
"730",NA
"731",NA
"732","georgia"
"733",NA
"734",NA
"735",NA
"736","district of columbia"
"737",NA
"738",NA
"739","nebraska"
"740",NA
"741","texas"
"742",NA
"743",NA
"744","texas"
"745",NA
"746",NA
"747",NA
"748","michigan"
"749","vermont"
"750",NA
"751",NA
"752",NA
"753",NA
"754",NA
"755",NA
