"","lon","lat"
"1",-99.133208,19.4326077
"3",-74.0059728,40.7127753
"4",-77.7924992,40.7756184
"5",-94.885714,47.471245
"6",-114.0708459,51.0486151
"7",-114.0708459,51.0486151
"8",-60.6505388,-32.9442426
"9",-81.1637245,33.836081
"10",-79.7990319,43.3255196
"11",-108.985882,25.7904657
"13",-87.6297982,41.8781136
"15",21.8852665,49.3033203
"16",-99.133208,19.4326077
"17",-99.7232673,19.4968732
"18",-77.0368707,38.9071923
"19",-95.712891,37.09024
"20",19.3371891,43.6891675
"21",-82.9000751,32.1656221
"23",-79.727151,-1.9606263
"24",-79.3831843,43.653226
"25",-97.7430608,30.267153
"29",-77.0947092,38.984652
"30",-86.5804473,35.5174913
"31",7.4748243,52.0830055
"32",-111.8910474,40.7607793
"34",-100.3509665,44.3683156
"35",-117.1483648,33.4936391
"36",-75.6971931,45.4215296
"38",-72.331113,-40.2310217
"39",-79.727151,-1.9606263
"40",-70.3975022,-23.6509279
"41",-95.712891,37.09024
"42",-78.183406,-1.831239
"43",-79.9553924,-3.2581112
"44",-1.1743197,52.3555177
"45",-74.297333,4.570868
"46",-79.2112769,-4.0078909
"47",-0.3334185,47.8404856
"48",-86.902298,32.3182314
"49",-123.1207375,49.2827291
"50",-71.542969,-35.675147
"52",-79.6452983,-3.878567
"53",16.3738189,48.2081743
"54",-79.0058965,-2.9001285
"56",174.885971,-40.900557
"57",-79.2112769,-4.0078909
"58",-75.6971931,45.4215296
"59",-77.2013705,39.1434406
"61",-79.2112769,-4.0078909
"62",18.0685808,59.3293235
"63",-93.2650108,44.977753
"64",-75.6971931,45.4215296
"65",-87.9064736,43.0389025
"66",174.7633315,-36.8484597
"67",-73.9441579,40.6781784
"68",-95.712891,37.09024
"69",-4.7277528,37.5442706
"70",-70.6692655,-33.4488897
"71",-110.968881,32.2168967
"72",-79.9958864,40.4406248
"73",4.4777326,51.9244201
"74",-70.6692655,-33.4488897
"75",9.4797461,51.3127114
"77",-2.190828,47.137893
"79",-123.1207375,49.2827291
"81",5.291266,52.132633
"82",-79.9223592,-2.1709979
"85",-1.0339487,41.7235576
"86",10.451526,51.165691
"87",9.6772698,45.6982642
"89",-110.926479,32.2217429
"91",5.5392399,51.6157885
"92",-97.1080656,32.735687
"93",-119.4179324,36.778261
"95",-78.183406,-1.831239
"96",-77.0368707,38.9071923
"97",139.7764352,35.7000471
"98",19.145136,51.919438
"100",-79.3831843,43.653226
"102",-73.0443904,-36.8201352
"103",9.9936819,53.5510846
"104",-123.0724139,49.3199816
"105",-72.4977407,-51.7308935
"106",-85.323214,51.253775
"109",-118.2436849,34.0522342
"110",-97.037662,32.855705
"111",-74.5143232,40.9012101
"112",-75.6971931,45.4215296
"113",-77.0368707,38.9071923
"114",-73.567256,45.5016889
"115",-75.6767332,45.4080779
"116",-83.040888,39.9917495
"117",2.3522219,48.856614
"120",-86.8140144,36.155263
"122",-70.9170683,-53.1638329
"124",-74.297333,4.570868
"125",-76.5319854,3.4516467
"126",-77.0368707,38.9071923
"127",9.1829321,48.7758459
"128",4.3517211,50.8503463
"129",5.1214201,52.0907374
"130",-110.926479,32.2217429
"133",-0.3033577,51.5068804
"134",-79.9223592,-2.1709979
"136",-95.712891,37.09024
"137",-110.926479,32.2217429
"138",-70.6694036,-33.4481936
"139",8.6294175,50.0803608
"140",-3.9273778,38.9848295
"142",-79.3831843,43.653226
"146",-70.6692655,-33.4488897
"148",-71.5500276,-33.0153481
"149",-95.712891,37.09024
"150",-93.097702,41.8780025
"151",-70.6692655,-33.4488897
"152",-85.323214,51.253775
"154",2.1734035,41.3850639
"155",-79.3831843,43.653226
"156",-76.1643011,44.3276037
"157",-73.567256,45.5016889
"158",-75.6971931,45.4215296
"159",-83.040888,39.9917495
"160",-98.2374954,19.318154
"161",-74.4173877,40.8652865
"162",-79.3831843,43.653226
"163",-66.590149,18.220833
"164",-75.6971931,45.4215296
"166",-103.3496092,20.6596988
"167",10.40237,55.403756
"168",7.5885761,47.5595986
"169",12.566608,55.695981
"170",-81.6943605,41.49932
"171",-70.6692655,-33.4488897
"172",18.0685808,59.3293235
