"","Var1","Freq"
"1","arizona",34
"2","arkansas",14
"3","california",162
"4","colorado",25
"5","connecticut",11
"6","delaware",3
"7","florida",70
"8","georgia",47
"9","illinois",43
"10","indiana",15
"11","iowa",6
"12","kansas",95
"13","kentucky",13
"14","louisiana",5
"15","maine",1
"16","maryland",44
"17","massachusetts",36
"18","michigan",30
"19","minnesota",24
"20","missouri",29
"21","montana",7
"22","nevada",21
"23","new hampshire",7
"24","new jersey",37
"25","new mexico",9
"26","new york",85
"27","north carolina",43
"28","ohio",55
"29","oklahoma",29
"30","oregon",25
"31","pennsylvania",45
"32","rhode island",4
"33","south carolina",26
"34","south dakota",6
"35","tennessee",19
"36","texas",119
"37","utah",19
"38","virginia",32
"39","washington",22
"40","wisconsin",24
"41","alabama",8
"42","district of columbia",36
"43","idaho",8
"44","mississippi",2
"45","nebraska",10
"46","west virginia",8
"47","wyoming",2
"48","vermont",4
"49","north dakota",1
